Epoch 1/30, Averate MSE Loss: 3.352724, LR: 1.0e-04, time used: 72.1 seconds
Epoch 2/30, Averate MSE Loss: 0.109669, LR: 1.0e-04, time used: 159.2 seconds
Epoch 3/30, Averate MSE Loss: 0.009050, LR: 1.0e-04, time used: 235.4 seconds
Epoch 4/30, Averate MSE Loss: 0.002811, LR: 1.0e-04, time used: 310.9 seconds
Epoch 5/30, Averate MSE Loss: 0.001999, LR: 1.0e-04, time used: 386.0 seconds
Epoch 6/30, Averate MSE Loss: 0.001703, LR: 1.0e-04, time used: 461.7 seconds
Epoch 7/30, Averate MSE Loss: 0.001632, LR: 1.0e-04, time used: 526.0 seconds
Epoch 8/30, Averate MSE Loss: 0.001652, LR: 1.0e-04, time used: 589.0 seconds
Epoch 9/30, Averate MSE Loss: 0.001654, LR: 1.0e-04, time used: 646.2 seconds
Epoch 10/30, Averate MSE Loss: 0.001619, LR: 1.0e-04, time used: 705.3 seconds
Epoch 11/30, Averate MSE Loss: 0.001593, LR: 1.0e-04, time used: 761.9 seconds
Epoch 12/30, Averate MSE Loss: 0.001594, LR: 1.0e-04, time used: 818.1 seconds
Epoch 13/30, Averate MSE Loss: 0.001610, LR: 1.0e-04, time used: 873.6 seconds
Epoch 14/30, Averate MSE Loss: 0.001548, LR: 1.0e-04, time used: 929.3 seconds
Epoch 15/30, Averate MSE Loss: 0.001638, LR: 1.0e-04, time used: 984.8 seconds
Epoch 16/30, Averate MSE Loss: 0.001543, LR: 1.0e-04, time used: 1040.5 seconds
Epoch 17/30, Averate MSE Loss: 0.001575, LR: 1.0e-04, time used: 1097.6 seconds
Epoch 18/30, Averate MSE Loss: 0.001558, LR: 1.0e-04, time used: 1153.7 seconds
Epoch 19/30, Averate MSE Loss: 0.001608, LR: 1.0e-04, time used: 1210.5 seconds
Epoch 20/30, Averate MSE Loss: 0.001578, LR: 1.0e-04, time used: 1266.1 seconds
Epoch 21/30, Averate MSE Loss: 0.001577, LR: 1.0e-04, time used: 1322.0 seconds
Epoch 22/30, Averate MSE Loss: 0.001581, LR: 1.0e-04, time used: 1378.4 seconds
Epoch 23/30, Averate MSE Loss: 0.001528, LR: 1.0e-04, time used: 1434.6 seconds
Epoch 24/30, Averate MSE Loss: 0.001544, LR: 1.0e-04, time used: 1490.3 seconds
Epoch 25/30, Averate MSE Loss: 0.001542, LR: 1.0e-04, time used: 1545.2 seconds
Epoch 26/30, Averate MSE Loss: 0.001876, LR: 1.0e-04, time used: 1600.8 seconds
Epoch 27/30, Averate MSE Loss: 0.001588, LR: 1.0e-04, time used: 1656.9 seconds
Epoch 28/30, Averate MSE Loss: 0.001585, LR: 1.0e-04, time used: 1712.4 seconds
Epoch 29/30, Averate MSE Loss: 0.001557, LR: 1.0e-04, time used: 1767.6 seconds
Epoch 30/30, Averate MSE Loss: 0.001542, LR: 1.0e-04, time used: 1823.5 seconds
